,Name,Value,Overall_rating,Statistical_rating,Short_name
137,C. Marchisio,33000000.0,85,83.8111111111111,C. Marchisio
138,C. Grenier,6500000.0,74,24.066666666666666,C. Grenier
139,C. Ansaldi,9000000.0,79,113.27619047619046,C. Ansaldi
140,C. Dell'Orco,1000000.0,68,116.11111111111111,C. Dell'Orco
141,C. Molinaro,1500000.0,73,137.17999999999998,C. Molinaro
142,C. Biraghi,3500000.0,72,128.00571428571428,C. Biraghi
143,C. Lombardi,1800000.0,69,23.855555555555558,C. Lombardi
144,C. Théréau,4500000.0,77,82.21818181818183,C. Théréau
145,D. Baselli,16500000.0,79,105.78378378378379,D. Baselli
146,D. Croce,2700000.0,74,142.12,D. Croce
147,D. De Rossi,10500000.0,83,133.61290322580646,D. De Rossi
148,D. Dessena,2200000.0,71,101.75555555555556,D. Dessena
149,D. Gastaldello,2300000.0,76,95.63333333333334,D. Gastaldello
150,D. Padelli,3400000.0,74,-85.5,D. Padelli
151,D. Rugani,19000000.0,80,78.78666666666666,D. Rugani
152,D. Cataldi,9500000.0,75,77.89999999999999,D. Cataldi
153,D. D'Ambrosio,5500000.0,75,141.7875,D. D'Ambrosio
154,Danilo,5000000.0,79,63.75555555555556,Danilo
155,D. Dainelli,1000000.0,76,103.3307692307692,D. Dainelli
156,D. Lazović,7000000.0,75,115.72727272727273,D. Lazović
157,D. Astori,13000000.0,81,112.15757575757577,D. Astori
158,D. Biondini,875000.0,70,73.82857142857142,D. Biondini
159,D. Biraschi,1100000.0,68,46.142857142857146,D. Biraschi
160,D. Calabria,5500000.0,73,150.73333333333332,D. Calabria
161,D. Di Gennaro,3000000.0,72,157.7,D. Di Gennaro
162,D. Santon,7500000.0,76,137.88571428571427,D. Santon
163,D. Vitturini,400000.0,61,-1.2666666666666677,D. Vitturini
164,D. Zappacosta,13500000.0,79,123.17241379310344,D. Zappacosta
165,D. Praet,10500000.0,76,70.18124999999999,D. Praet
166,D. Falcinelli,6500000.0,74,61.64444444444444,D. Falcinelli
167,D. Laxalt,13500000.0,78,130.36111111111111,D. Laxalt
168,D. Perotti,18000000.0,81,155.79999999999998,D. Perotti
169,D. Mesbah,2200000.0,73,88.16,D. Mesbah
170,D. Berardi,24500000.0,81,153.62857142857143,D. Berardi
171,D. Maietta,1700000.0,74,134.04827586206898,D. Maietta
172,D. Mertens,43000000.0,86,132.34857142857143,D. Mertens
173,D. Zapata,13000000.0,78,61.0,D. Zapata
174,D. Basta,8000000.0,80,87.39999999999999,D. Basta
175,E. Gnahoré,1100000.0,67,34.199999999999996,E. Gnahoré
176,E. Džeko,28000000.0,84,110.2,E. Džeko
177,E. Goldaniga,3700000.0,72,84.00714285714287,E. Goldaniga
178,E. Hysaj,13500000.0,79,96.19428571428571,E. Hysaj
179,E. Vignato,500000.0,61,17.099999999999998,E. Vignato
180,E. Giaccherini,8000000.0,78,20.900000000000002,E. Giaccherini
181,E. Terranova,1300000.0,70,73.46666666666667,E. Terranova
182,E. Audero,950000.0,67,38.0,E. Audero
183,E. Hallfreðsson,3900000.0,75,109.52142857142856,E. Hallfreðsson
184,E. Krafth,4700000.0,73,71.46923076923075,E. Krafth
185,E. Moretti,900000.0,75,115.65217391304348,E. Moretti
186,E. Viviano,13500000.0,82,61.917647058823526,E. Viviano
187,E. Pulgar,4700000.0,73,103.58518518518518,E. Pulgar
188,E. Zukanović,4900000.0,75,102.2,E. Zukanović
189,E. Berisha,8500000.0,78,90.03076923076924,E. Berisha
190,E. Lamanna,2500000.0,72,-16.647619047619045,E. Lamanna
191,E. Muñoz,4200000.0,73,94.26451612903227,E. Muñoz
192,F. Pisacane,1600000.0,71,130.11724137931034,F. Pisacane
193,F. Cacciatore,4100000.0,74,105.7448275862069,F. Cacciatore
194,F. Ghoulam,15000000.0,80,124.87586206896552,F. Ghoulam
195,F. Barba,3700000.0,72,36.61818181818182,F. Barba
196,F. Bernardeschi,30500000.0,82,112.33749999999999,F. Bernardeschi
197,F. Ceccherini,4500000.0,73,119.21142857142856,F. Ceccherini
198,F. Chiesa,11500000.0,75,76.14074074074075,F. Chiesa
199,F. Di Francesco,6000000.0,73,50.666666666666664,F. Di Francesco
200,F. Dimarco,700000.0,63,83.60000000000001,F. Dimarco
201,F. Fazio,16500000.0,82,124.47567567567566,F. Fazio
202,F. Marchetti,6000000.0,80,69.29411764705883,F. Marchetti
203,F. Melchiorri,3900000.0,73,65.36,F. Melchiorri
204,F. Peluso,2200000.0,74,97.12352941176471,F. Peluso
205,F. Ricci,4600000.0,72,81.54166666666667,F. Ricci
206,F. Viviani,10000000.0,76,145.74117647058821,F. Viviani
207,F. Helander,4500000.0,73,70.81818181818181,F. Helander
208,F. Đorđević,6500000.0,75,1.7882352941176487,F. Đorđević
209,F. Đuričić,7000000.0,74,28.0,F. Đuričić
210,F. Costa,750000.0,65,125.39999999999999,F. Costa
211,F. Melegoni,750000.0,63,83.60000000000001,F. Melegoni
212,F. Acerbi,17000000.0,82,140.8,F. Acerbi
213,F. Magnanelli,5000000.0,77,173.28,F. Magnanelli
214,F. Zampano,1200000.0,69,126.51764705882354,F. Zampano
215,G. Paletta,10000000.0,80,73.71999999999998,G. Paletta
216,G. Angella,4600000.0,74,77.62857142857142,G. Angella
217,G. Medel,17000000.0,82,97.48461538461538,G. Medel
218,G. Kondogbia,11500000.0,78,111.46666666666665,G. Kondogbia
219,G. Bonaventura,26500000.0,83,140.0,G. Bonaventura
220,G. Ferrari,6500000.0,74,94.3837837837838,G. Ferrari
221,G. González,5000000.0,75,75.8190476190476,G. González
222,G. Caprari,5500000.0,73,94.02285714285713,G. Caprari
223,G. Lapadula,9000000.0,76,31.948148148148153,G. Lapadula
224,G. Pegolo,425000.0,72,0.0,G. Pegolo
225,G. Buffon,4500000.0,89,121.85333333333332,G. Buffon
226,G. Donnarumma,28500000.0,82,115.89999999999999,G. Donnarumma
227,G. Munari,375000.0,67,31.781818181818178,G. Munari
228,G. Chiellini,38000000.0,89,110.01904761904763,G. Chiellini
229,G. Simeone,12500000.0,76,48.53142857142858,G. Simeone
230,G. Bellusci,1500000.0,70,84.86666666666665,G. Bellusci
231,G. Borello,325000.0,59,0.0,G. Borello
232,G. Cuomo,200000.0,57,0.0,G. Cuomo
233,G. Pezzella,900000.0,65,93.48,G. Pezzella
234,G. Vives,550000.0,73,139.33333333333334,G. Vives
235,G. Donsah,10000000.0,75,65.18461538461538,G. Donsah
236,G. Higuaín,77000000.0,90,87.0,G. Higuaín
237,G. Rodríguez,7000000.0,81,91.93076923076924,G. Rodríguez
238,G. Pandev,3500000.0,74,60.230000000000004,G. Pandev
239,G. Kastanos,1200000.0,66,46.074999999999996,G. Kastanos
240,G. Stendardo,240000.0,70,72.2,G. Stendardo
241,G. Marilungo,2500000.0,71,45.03,G. Marilungo
242,G. Gómez,7000000.0,75,59.74444444444444,G. Gómez
243,H. Aleesami,2100000.0,70,98.18709677419353,H. Aleesami
244,H. Hateboer,2600000.0,71,19.0,H. Hateboer
245,H. Milić,4400000.0,74,99.0235294117647,H. Milić
246,H. Campagnaro,240000.0,70,97.8,H. Campagnaro
247,I. Hagi,750000.0,63,81.7,I. Hagi
248,I. Mbaye,2200000.0,70,87.875,I. Mbaye
249,I. Cofie,3800000.0,72,89.68,I. Cofie
250,I. Perišić,31500000.0,84,139.86111111111111,I. Perišić
251,I. Radovanović,7000000.0,77,86.64,I. Radovanović
252,I. Strinić,5000000.0,75,148.51666666666668,I. Strinić
253,I. Vargić,675000.0,69,-152.0,I. Vargić
254,I. Chochev,4200000.0,72,119.95333333333332,I. Chochev
255,J. Sala,4300000.0,73,124.07000000000001,J. Sala
256,J. Jankto,12000000.0,76,104.43448275862069,J. Jankto
257,J. Mlakar,625000.0,62,0.0,J. Mlakar
258,J. Kurtić,7500000.0,76,78.97837837837838,J. Kurtić
259,J. Bahebeck,4000000.0,72,55.22666666666667,J. Bahebeck
260,J. Murillo,13500000.0,79,114.0,J. Murillo
261,J. Hart,14000000.0,82,14.777777777777779,J. Hart
262,J. Obi,4900000.0,73,53.96,J. Obi
263,J. Biabiany,6500000.0,75,0.0,J. Biabiany
264,J. Lukaku,10000000.0,77,49.4,J. Lukaku
265,J. Martínez,13500000.0,78,33.50909090909091,J. Martínez
266,J. Iličić,15000000.0,80,109.54482758620689,J. Iličić
267,J. Posavec,925000.0,66,-34.855172413793106,J. Posavec
268,J. Mauri,3300000.0,71,94.45714285714284,J. Mauri
269,J. Cuadrado,21500000.0,82,126.66666666666667,J. Cuadrado
270,J. Carrizo,3400000.0,75,0.0,J. Carrizo
271,J. Kucka,11500000.0,79,69.41333333333334,J. Kucka
272,K. Koulibaly,32500000.0,84,117.39285714285714,K. Koulibaly
273,K. Linetty,10500000.0,75,109.65714285714286,K. Linetty
274,K. Honda,9000000.0,78,56.050000000000004,K. Honda
275,K. Diks,3000000.0,71,0.0,K. Diks
276,K. Strootman,35000000.0,84,133.6909090909091,K. Strootman
277,K. Babacar,10500000.0,76,45.25454545454546,K. Babacar
278,K. Manolas,31500000.0,84,80.72121212121212,K. Manolas
279,K. Asamoah,8000000.0,78,118.22222222222223,K. Asamoah
280,L. Krejčí,11500000.0,77,74.35675675675675,L. Krejčí
281,L. Jallow,500000.0,63,9.5,L. Jallow
282,L. Paredes,19500000.0,80,122.16296296296296,L. Paredes
283,L. Memushaj,2900000.0,72,110.09444444444445,L. Memushaj
284,L. Bonucci,44000000.0,88,86.08965517241377,L. Bonucci
285,L. Capezzi,2700000.0,70,86.79199999999999,L. Capezzi
286,L. Morosini,1700000.0,69,15.200000000000001,L. Morosini
287,L. Pavoletti,9000000.0,77,6.080000000000001,L. Pavoletti
288,L. Spinazzola,10500000.0,76,89.3,L. Spinazzola
289,L. Vangioni,4800000.0,75,80.55999999999999,L. Vangioni
290,L. Mchedlidze,6500000.0,74,47.120000000000005,L. Mchedlidze
291,L. Crisetig,5000000.0,73,107.70625,L. Crisetig
292,L. De Silvestri,6000000.0,76,61.512499999999996,L. De Silvestri
293,L. Insigne,45000000.0,85,125.4,L. Insigne
294,L. Pellegrini,13000000.0,77,111.01428571428572,L. Pellegrini
295,L. Tonelli,12500000.0,79,135.53333333333333,L. Tonelli
296,L. Antei,2500000.0,71,122.61333333333333,L. Antei
297,L. Antonelli,5500000.0,76,96.08571428571429,L. Antonelli
298,L. Bittante,1000000.0,68,66.88000000000001,L. Bittante
299,L. Ceppitelli,3000000.0,72,83.19999999999999,L. Ceppitelli
300,L. Cigarini,6500000.0,76,133.0,L. Cigarini
301,L. Crecco,1000000.0,66,43.06666666666666,L. Crecco
302,L. Crosta,800000.0,64,209.0,L. Crosta
303,L. Lezzerini,800000.0,66,171.0,L. Lezzerini
304,L. Mazzitelli,4900000.0,73,97.90588235294116,L. Mazzitelli
305,L. Rigoni,5000000.0,75,71.09677419354838,L. Rigoni
306,L. Rizzo,8000000.0,75,48.449999999999996,L. Rizzo
307,L. Rossettini,4400000.0,76,97.66,L. Rossettini
308,L. Biglia,17500000.0,83,171.91724137931033,L. Biglia
309,L. Boyé,5000000.0,72,31.41333333333333,L. Boyé
310,L. Castro,10500000.0,78,149.23636363636365,L. Castro
311,L. Ocampos,11000000.0,76,73.22307692307692,L. Ocampos
312,L. Orbán,4400000.0,74,82.2181818181818,L. Orbán
313,L. Torreira,11500000.0,76,183.92,L. Torreira
314,L. Muriel,18500000.0,80,75.14193548387097,L. Muriel
315,M. Niang,14500000.0,78,67.55555555555556,M. Niang
316,M. Coulibaly,750000.0,63,34.20000000000001,M. Coulibaly
317,M. Tounkara,975000.0,65,0.0,M. Tounkara
318,M. Gabbiadini,16500000.0,79,27.76923076923077,M. Gabbiadini
319,M. Locatelli,8500000.0,74,91.80799999999999,M. Locatelli
320,M. Pasqual,875000.0,73,141.54999999999998,M. Pasqual
321,M. Pucciarelli,5000000.0,73,65.90625,M. Pucciarelli
322,M. Büchel,4900000.0,73,39.52,M. Büchel
323,M. Gazzola,2200000.0,73,97.375,M. Gazzola
324,M. Trotta,1400000.0,69,54.90344827586207,M. Trotta
325,M. Brozović,23000000.0,81,127.21739130434783,M. Brozović
326,M. Andreolli,6000000.0,77,22.799999999999997,M. Andreolli
327,M. Benassi,17500000.0,79,88.89285714285714,M. Benassi
328,M. Capuano,3400000.0,72,71.56666666666668,M. Capuano
329,M. D'Alessandro,2100000.0,70,54.150000000000006,M. D'Alessandro
330,M. Festa,290000.0,62,-19.0,M. Festa
331,M. Parolo,13500000.0,81,131.3235294117647,M. Parolo
332,M. Sau,5500000.0,74,56.66470588235295,M. Sau
333,M. Sportiello,9500000.0,78,-17.1,M. Sportiello
334,M. Sportiello,9500000.0,78,1.9,M. Sportiello
335,M. Storari,525000.0,76,-48.89333333333333,M. Storari
336,M. Rohdén,2500000.0,71,95.55882352941177,M. Rohdén
337,M. Hamšík,48500000.0,87,101.2,M. Hamšík
338,M. Lemina,12000000.0,77,63.599999999999994,M. Lemina
339,M. Mandžukić,23500000.0,83,77.89999999999999,M. Mandžukić
340,M. Pašalić,11500000.0,76,74.25833333333334,M. Pašalić
341,M. Sampirisi,2000000.0,70,81.45217391304347,M. Sampirisi
342,M. Oikonomou,6000000.0,74,79.5888888888889,M. Oikonomou
343,M. Pajač,900000.0,66,0.0,M. Pajač
344,M. Pjaca,12500000.0,76,24.157142857142855,M. Pjaca
345,M. Rog,12500000.0,76,21.533333333333335,M. Rog
346,M. Gobbi,450000.0,73,92.34,M. Gobbi
347,M. Maccarone,2400000.0,75,40.714285714285715,M. Maccarone
348,M. Jajalo,3800000.0,73,87.98461538461538,M. Jajalo
349,M. Politano,12000000.0,77,110.20000000000002,M. Politano
350,M. Aramu,1200000.0,67,64.6,M. Aramu
351,M. Caldara,10500000.0,76,137.30666666666667,M. Caldara
352,M. De Sciglio,8500000.0,76,84.36,M. De Sciglio
353,M. Destro,9500000.0,76,49.526666666666664,M. Destro
354,M. Perin,25000000.0,83,40.85,M. Perin
355,M. Fernández,9000000.0,78,68.98461538461538,M. Fernández
356,M. Silvestre,3800000.0,75,45.49444444444444,M. Silvestre
357,M. Isla,6000000.0,76,108.5235294117647,M. Isla
358,M. Pinilla,0.0,75,-27.3125,M. Pinilla
359,M. Icardi,42000000.0,84,101.59411764705884,M. Icardi
360,M. Zárate,8500000.0,77,51.57142857142857,M. Zárate
361,M. Olivera,2000000.0,70,63.12222222222223,M. Olivera
362,M. Benatia,23000000.0,84,110.45333333333332,M. Benatia
363,M. Morganella,900000.0,68,68.05454545454546,M. Morganella
364,M. Fornasier,1100000.0,68,58.72727272727273,M. Fornasier
365,M. Zajc,825000.0,65,43.32,M. Zajc
366,M. Badelj,10500000.0,78,115.26666666666665,M. Badelj
367,M. Škriniar,8000000.0,75,62.86285714285715,M. Škriniar
368,M. Pjanić,43500000.0,85,128.31333333333333,M. Pjanić
369,M. Eramo,925000.0,68,38.0,M. Eramo
370,M. Valdifiori,6000000.0,77,96.67199999999998,M. Valdifiori
371,M. Salah,32500000.0,83,115.10322580645162,M. Salah
372,M. Kean,900000.0,64,40.53333333333334,M. Kean
373,M. Wagué,6000000.0,74,134.26666666666668,M. Wagué
374,M. Leitner,5000000.0,73,32.3,M. Leitner
