,Name,Value,Overall_rating,Statistical_rating,Short_name
451,T. Heaton,11000000.0,81,90.54857142857144,T. Heaton
452,T. Huddlestone,6000000.0,75,58.71612903225805,T. Huddlestone
453,T. Alexander-Arnold,1900000.0,69,27.685714285714283,T. Alexander-Arnold
454,T. Deeney,10500000.0,78,44.47027027027027,T. Deeney
455,T. Mings,2800000.0,71,51.02857142857142,T. Mings
456,V. Behrami,5000000.0,77,118.7851851851852,V. Behrami
457,V. Moses,12500000.0,79,116.23529411764706,V. Moses
458,V. Wanyama,23000000.0,82,93.73333333333333,V. Wanyama
459,V. Fischer,9500000.0,75,36.246153846153845,V. Fischer
460,V. Janssen,12000000.0,77,27.866666666666667,V. Janssen
461,V. Kompany,26000000.0,85,84.63636363636364,V. Kompany
462,V. van Dijk,27500000.0,83,120.33333333333333,V. van Dijk
463,V. Mannone,3800000.0,74,19.844444444444445,V. Mannone
464,W. Khazri,12000000.0,78,45.23809523809524,W. Khazri
465,W. Hennessey,3600000.0,74,27.124137931034483,W. Hennessey
466,W. Rooney,15500000.0,81,74.784,W. Rooney
467,W. Routledge,5000000.0,75,64.17777777777779,W. Routledge
468,W. Morgan,3600000.0,77,70.22962962962961,W. Morgan
469,W. Bony,13000000.0,79,41.040000000000006,W. Bony
470,W. Zaha,22500000.0,81,169.37142857142857,W. Zaha
471,W. Keane,1000000.0,67,-5.319999999999999,W. Keane
472,W. Caballero,3000000.0,79,105.05882352941177,W. Caballero
473,W. Reid,11500000.0,79,118.43333333333334,W. Reid
474,X. Shaqiri,26500000.0,82,101.87619047619049,X. Shaqiri
475,Y. Bolasie,10500000.0,78,86.58571428571429,Y. Bolasie
476,Y. Touré,12500000.0,83,75.696,Y. Touré
477,Y. Benalouane,4900000.0,75,86.01818181818182,Y. Benalouane
478,Y. Cabaye,11000000.0,79,137.39374999999998,Y. Cabaye
479,Y. Kaboul,4500000.0,75,90.86956521739128,Y. Kaboul
480,Z. Ibrahimović,27000000.0,88,47.5,Z. Ibrahimović
481,I. Gündoğan,46000000.0,85,116.66,I. Gündoğan
482,L. Fabiański,8500000.0,80,-4.9297297297297415,L. Fabiański
