,Name,Value,Overall_rating,Statistical_rating,Short_name
147,H. Altıntop,2000000.0,75,144.71249999999998,H. Altıntop
148,H. Seferović,8500000.0,75,8.024000000000001,H. Seferović
149,H. Lindner,2100000.0,71,76.5,H. Lindner
150,H. Hansen,425000.0,63,57.8,H. Hansen
151,H. Badstuber,8500000.0,78,72.01818181818182,H. Badstuber
152,H. Nielsen,3100000.0,71,8.5,H. Nielsen
153,I. Traoré,14500000.0,80,110.74285714285715,I. Traoré
154,I. Höhn,1100000.0,69,78.48333333333333,I. Höhn
155,I. Hajrović,3700000.0,72,42.5,I. Hajrović
156,J. Błaszczykowski,7000000.0,76,117.90714285714284,J. Błaszczykowski
157,J. Morávek,3500000.0,72,56.49230769230768,J. Morávek
158,J. Rosenthal,2100000.0,71,20.042105263157893,J. Rosenthal
159,J. Callsen-Bracker,1800000.0,72,0.0,J. Callsen-Bracker
160,J. Haberer,5500000.0,73,71.82499999999999,J. Haberer
161,J. Horn,1300000.0,68,107.23076923076923,J. Horn
162,J. Huth,1100000.0,68,29.142857142857142,J. Huth
163,J. Vestergaard,12000000.0,78,102.4,J. Vestergaard
164,J. Drobný,375000.0,74,20.4,J. Drobný
165,J. Hernández,22000000.0,82,49.56153846153846,J. Hernández
166,J. Gbamin,8500000.0,75,84.32,J. Gbamin
167,J. Bruma,13500000.0,79,37.74,J. Bruma
168,J. Gouweleeuw,9000000.0,77,113.89999999999999,J. Gouweleeuw
169,J. Hegeler,2400000.0,72,54.4,J. Hegeler
170,J. Toljan,8000000.0,75,81.09,J. Toljan
171,J. Córdoba,12000000.0,77,42.558620689655164,J. Córdoba
172,J. Pohjanpalo,4300000.0,72,55.32727272727272,J. Pohjanpalo
173,J. Djourou,3000000.0,73,61.685714285714276,J. Djourou
174,J. Geis,9500000.0,77,130.14444444444445,J. Geis
175,J. Brooks,17000000.0,80,95.90833333333335,J. Brooks
176,J. Föhrenbach,775000.0,66,32.86666666666667,J. Föhrenbach
177,J. Hector,14000000.0,80,145.169696969697,J. Hector
178,J. Hofmann,11500000.0,77,60.06666666666666,J. Hofmann
179,J. Lössl,5500000.0,75,19.77037037037037,J. Lössl
180,J. Meffert,1200000.0,69,88.39999999999999,J. Meffert
181,J. Schmid,6000000.0,74,82.824,J. Schmid
182,J. Tah,26000000.0,82,117.74736842105263,J. Tah
183,J. Torunarigha,1000000.0,65,83.3,J. Torunarigha
184,J. Kimmich,20500000.0,81,101.11851851851851,J. Kimmich
